PID,mods_recordInfo_recordIdentifier_s,mods_titleInfo_title_s,new_url
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9091,,"Large eddy simulation of dual impeller baffled mixer",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9310,,"Influence of habitat on the occurrence of the endemic Barbuda warbler (Setophaga subita) and resident yellow Warbler (S. petechia)",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6452,"Thesis 9553","Uncovering an integrated leadership theory",https://unbscholar.lib.unb.ca/handle/1882/14229
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6504,"Thesis 9446","Understanding factors that impact responsivity within case management plans of community-based offenders with and without mental health needs",https://unbscholar.lib.unb.ca/handle/1882/13513
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9425,,"Investigating the deterioration of concrete exposed to potassium acetate deicer solution",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7094,"Thesis 9268","Making hands :",https://unbscholar.lib.unb.ca/handle/1882/13644
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9120,,"An exploration of French Immersion students' communication during collaborative mathematics problem-solving tasks",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7156,,"Learning in the New Brunswick workplace",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7123,"Thesis 9434","Analysis of upper limb prosthetic and BMI data in Atlantic Canada",https://unbscholar.lib.unb.ca/handle/1882/13137
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6212,"Thesis 9453","Analysis of a cycloidal wave energy converter using unsteady Reynolds averaged Navier-Stokes simulation",https://unbscholar.lib.unb.ca/handle/1882/13634
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6508,"Thesis 9419","Exploring the ethical orientations of environmental lifestyle practitioners",https://unbscholar.lib.unb.ca/handle/1882/13229
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6520,"Thesis 9376","Durability of residential concrete using fly ash with a high alkali-sulfate content",https://unbscholar.lib.unb.ca/handle/1882/14578
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9156,,"Experimental study on bond behaviour of CFRP sheets externally bonded to reinforced concrete",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7859,,"Stand structural changes following commercial thinning of white spruce",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6607,,"Men and masculinity in Filmer & Locke toward a critique of 'enlightened' manhood",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9504,,"Innovative utilization of starch in biodegradable and antimicrobial materials",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9510,,"Physical Characterization of two fractured sedimentary rock aquifers in New Brunswick, Canada with emphasis on the development of self-potential methods",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9565,,"McKay quivers of the groups G(r, m, n)",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9558,,"Communication-efficient privacy-preserving query for fog-enhanced Internet of Things",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8318,,"Metabolomic analysis of derivatives of the pathways catalyzed by indolepyruvate decarboxylase and an uncharacterized aldo-keto reductase in a soil and enteric bacterium",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9604,,"Computational analysis of the free surface effects on a BB2 submarine undergoing horizontal maneuvers",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7636,,"A qualitative analysis of the interpersonal experiences of bisexual women in a team sport environment",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6546,"Thesis 9484","Modelling unresolved bathymetry in tidal flow simulations",https://unbscholar.lib.unb.ca/handle/1882/14000
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9518,,"Attachment anxiety, self-disclosure, and authenticity: the moderating role of interdependence",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7090,"Thesis 9264.","Coupled-mode theory for RF and microwave resonators",https://unbscholar.lib.unb.ca/handle/1882/14068
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7159,,"Rapid climate change and spruce-climate disequilibrium in lateglacial Nova Scotia",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6572,"Thesis 9459","Salt water intrusion within a Carboniferous sandstone aquifer at Richibucto, New Brunswick as revealed by hydrogeophysical and petrophysical investigations",https://unbscholar.lib.unb.ca/handle/1882/14399
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7660,,"International trade and the border effect between Canada and United States",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6180,"Thesis 9460","The making of a labour activist",https://unbscholar.lib.unb.ca/handle/1882/13535
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9396,,"Development of evaluation methodology for rolling shear properties in cross-laminated timber (CLT)",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7643,,"Investigation of flow and solute transport in a shallow perched groundwater system beneath a potato field",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9115,,"Spinsters and bachelors in Dicken's novels: from the ridiculous to the sublime",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6525,"Thesis 9462","In-stream habitat enhancement for juvenile Atlantic salmon in the Little Main Restigouche River, New Brunswick",https://unbscholar.lib.unb.ca/handle/1882/13955
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7976,,"An exploratory study of the lived experience of infertility among young men after cancer treatment",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9601,,"Investigation of seepage near the interface between an embankment dam and concrete structure: monitoring and modelling of seasonal temperature trends",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7626,,"Cold objects in the java virtual machine",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7621,,"Organic reducing agents featuring iminophosphorano substituents",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9369,,"The Canadian North West Rebellion 1885",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9084,,"Enzymatic pretreatment of wood to reduce energy consumption in thermo-mechanical pulp refining",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9404,,"Innovative means of collecting international roughness index using smartphone technology",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6712,,"Estimating the safety function response time for wireless control systems",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8358,,"The geography of diet: diversity in diet and foraging behavior in herring gulls (Larus argentatus) across Atlantic Canada",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7665,,"Longitudinal data integration for a tracking system for health professionals",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6207,"Thesis 9450","Real-time simultaneous myoelectric control of multiple degrees of freedom",https://unbscholar.lib.unb.ca/handle/1882/14179
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7667,,"Modeling and mapping distributions of common bryophytes across New Brunswick using a lidar-derived depth-to-water index",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9105,,"Colonel Alzheimer",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8266,"Thesis 10012","Deep belief networks for sentiment analysis",https://unbscholar.lib.unb.ca/handle/1882/14591
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7886,,"Multi-level AC-DC power electronic converter for applications in PMG-based WECSs",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8105,,"Assessing effects of sampling frequency on the estimation accuracy of different water quality indicators",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6583,,"Outcomes of the summer camp experience for youth-at-risk at Camp Tippy Canoe, NB",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8129,,"Thinking with Nunangat in proposing pedagogies for/with Inuit early childhood education",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9170,,"Elucidating spatiotemporal infection biology of Loma morhua (Microsporidia) in Atlantic cod (Gadus morhua) through integration of parasitological and molecular quantitative diagnostic approaches relevant for aquaculture disease mitigation",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8024,,"An empirical evaluation of the RCMP's youth intervention and diversion strategy in New Brunswick",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7146,,"Sexual harassment among students",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9372,,"Measuring and contextualizing heterosexual men's and women's cybersex experiences in three types of relationships",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7672,,"A dynamic graph-based malware classifier",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8269,,"Correctional professionals' self-reported adherence and attitudes toward the risk-need-responsivity (RNR) model of offender case management",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7907,,"The effect of mental fatigue on the psychobiological response to a 10km cycling time trial",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7757,,"Extracting sonar relative beam patterns for multi-sector multibeam sonar",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6584,,"Exploring the career-related goals and barriers of teenage mothers",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9498,,"Visualization, statistical analysis, and mining of historical vessel data",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9415,,"Investigating FPGA architectures for System-on-Chip",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9450,,"Transitioning from L1 to L2 reading: patterns, at risk profiles, and success indicators of students in French immersion",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9114,,"Development and characterization of new feedstock from biomass blends",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8856,,"Development and assessment of loosely-coupled ins using smartphone sensors",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6616,"Thesis 9576","Institutionalized care for adults with significant disabilities and mental illnesses in the province of New Brunswick",https://unbscholar.lib.unb.ca/handle/1882/13742
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9599,,"Description of high-resolution flow velocity and dilution within aquaculture farms in Passamaquoddy Bay, Bay of Fundy, Canada.",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9370,,"Environmental drivers of stream ecosystem structure and function in subarctic Labrador, Canada",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9576,,"Identifying the challenges of teaching inquiry-based science in New Brunswick elementary schools",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6603,"Thesis 9566","Bursty event discovery from online news outlets",https://unbscholar.lib.unb.ca/handle/1882/14291
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9308,,"Seasonal migrations of American Lobster (Homarus americanus) in the Bay of Fundy",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9065,,"The probability of households purchasing tobacco in Canada and the challenges associated with identifying price effect",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9108,,"Carbon-based polymeric materials for stretchable supercapacitors",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9266,,"Burnout and empowerment among hemodialysis nurses in Quebec",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7644,,"Educating for gross national happiness",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6451,"Thesis 9548",E-community,https://unbscholar.lib.unb.ca/handle/1882/14112
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6169,"Thesis 9445","The effect of chemical additives on the deposition of magnetite onto alloy-800 under nucleate boiling heat transfer",https://unbscholar.lib.unb.ca/handle/1882/14131
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7716,,"Investigations of corrosion-product behaviour under a variety of nuclear reactor coolant conditions",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6462,"Thesis 9588","Experimental investigation of Canadian East and West Coast fish farm hydrodynamic wake properties and its implications for Integrated Multi-Trophic Aquaculture",https://unbscholar.lib.unb.ca/handle/1882/13854
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7709,,"Home ownership as a means to retain immigrants in Atlantic Canada",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6904,,"Getting a handle on ground stone",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7747,,"Pairwise attribute noise detection algorithm for detecting noise in surface electromyography recordings",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6594,,"Efficient classification of complex ontologies",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9432,,"An investigation into the taxonomy, distribution, seasonality and phenology of Laminariaceae (Phaeophyceae) in Atlantic Canada",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7169,,"Design of an overset mesh methodology for forest protection aircraft droplet release",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8893,,"Transitioning from L1 to L2 reading: patterns, at risk profiles, and success indicators of students in French Immersion",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9162,,"Improving performance and internal model strength of myoelectric prosthesis control strategies using augmented feedback",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9406,"Thesis 9327","The role of habitat and dispersal in shaping the biodiversity of riverine insect assemblages",https://unbscholar.lib.unb.ca/handle/1882/13728
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9101,,"Among-lake variability in Methylmercury and amino acids in aquatic invertebrates from Kejimkujik National Park",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9520,,"Rebuilding the longhouse: deconstructing settler colonialism via decolonizing education",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8254,,"Mobile apps in the workplace?",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7736,,"Road safety audits",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9403,,"Where is all the talent? A study of the migratory patterns of post-secondary graduates in New Brunswick",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9309,,"Is U Sports hockey the best kept secret in North American sports?",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9312,,"Simultaneous measurement of elastic constants of engineered wood-based panels by modal testing",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8080,,"Log moisture content determination with quantitative magnetic resonance",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8233,,"Diversity patterns of benthic diatoms and their use as potential bioindicators in western boreal wetlands",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9508,,"Game-based myoelectric muscle training",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9137,,"Forecasting forest inventory for spruce plantations using airborne laser scanning data",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7684,,"Dignity and compassion",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9412,,"Active vibration control of flexible two-link manipulator",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9497,,"Petrogenesis of the low sulfidation gold mineralization in the Williams Brook area, Tobique-Chaleur Zone, New Brunswick",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9491,,"Developing a high-fidelity GIS-based travel demand model framework for improved network-wide traffic estimation",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8226,,"Web-based flood risk assessment",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9418,,"ClsEqMatcher: an ontology matching approach",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8272,,"Mechanistic modelling and validation of constant load C-ring apex stresses for stress corrosion cracking testing in supercritical water",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7031,"Thesis 9366","Measuring Java Util Concurrent parking contention in the IBM J9 Virtual Machine",https://unbscholar.lib.unb.ca/handle/1882/14321
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7670,,"Interactions between the invasive brown spruce longhorn beetle, Tetropium fuscum (Fabricius) (Coleoptera: Cerambycidae), and its native congener, Tetropium cinnamopterum (Kirby)",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9553,,"A grounded theory study of how teachers and administrators use school improvement plans to make change in their schools",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9399,,"Performance evaluation of fast integer compression techniques over tables",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7128,,"Deepening historical consciousness through museum fieldwork",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7116,"Thesis 9177","Patient voice",https://unbscholar.lib.unb.ca/handle/1882/13179
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9133,,"Corrosion of reinforcing steel in concrete: monitoring techniques and mitigation strategies",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9524,,"A scalability-oriented benchmark suite for Node.js in the cloud",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8031,,"Elucidating adsorption mechanisms in carbon molecular sieves and development of new methodologies for fast screening of gas and liquid adsorption systems",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7714,,"The relationship between maternal pre-pregnancy weight and breastfeeding initiation",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8829,,"User-side modelling and comparative analysis of airborne LiDAR errors",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9595,,"Core task assistance in video games",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7962,,"Impacts of retrogressive thaw slump disturbances on biological structure and function in Arctic streams, Peel Plateau, NWT",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9592,,"Ethics in long-term care: exploring the interaction between provincial and organizational policy and frontline ethical decision-making",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9072,,"When practices embody sexism: The experience of Ontario women correctional officers",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8127,,"Environmental determinants of invertebrate community structure and nutrient storage in aquatic invertebrate larvae",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7655,,"Patterns of natal recruitment in the Atlantic puffin (Fratercula arctica)",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9515,,"Bioactive natural products from marine macroalgal endophytes from the Bay of Fundy, Canada",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7172,,"Software to analyse ultrasonic scanning results",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7911,,"The quantification and exploitation of the strong π-donor ability of iminophosphorano substituents",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9506,,"An investigation of iron concentration effects and modelling of flow accelerated corrosion",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8258,,"Life narrative ethnography of Wolastoqiyik elder Charles Solomon, Medicine Man",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8852,,"Spatial analysis of land cover changes in the Grand Lake Meadows, New Brunswick",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7137,,"An intelligent malware classification framework",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9070,,"The importance of marine-derived nutrients from anadromous fishes to Atlantic rivers",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9107,,"Method handle optimization for the JVM instruction invokedynamic",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7715,,"Student voices on inclusion, music identity and the power of composition",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7681,"Thesis 8723","Applying social cognitive theory to the university adjustment process",https://unbscholar.lib.unb.ca/handle/1882/13315
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9297,,"Dyslexic design",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7860,,"The impact of regional age structure on entrepreneurship in Canada",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9435,,"Conceiving Christianity: Anglican women and lived religion in mid-20th century Conception Bay, Newfoundland",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9086,,"The role of spirituality and self-determination in recovery fro drug and alcohol addiction among Indigenous people",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8250,,"Participatory democracy",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7977,,"Geochemical investigation of urban soils in Fredericton, New Brunswick, Canada",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7754,,"Inferring political preferences of active content consumers in Twitter",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9134,,"Mining partially ordered sequential rules on unbounded data",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9167,,"Living at the edge: peripheral plant populations and climate change",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6925,,"Efficiency improvement for small-scale single-phase grid-connected inverters",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8032,,"The effect of dispersal heterogeneity in bioinvasions",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9570,,"Effects of spruce budworm outbreaks on balsam fir regeneration in mixed balsam fir-hardwood stands",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9318,,"Social-aware data dissemination via device-to-device communications in wireless networks",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9130,,"Two teachers' journey, one teachers' tale: an autoethnographic narrative of creating an assessment and evaluation system using a learning community framework",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8831,,"Carrier-Phase multipath mitigation in RTK-based GNSS dual-antenna systems",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9496,,"An Eulerian model of droplet dispersion in turbulent flow",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7759,,"The phenomenology of flow in young piano learners and video gamers",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7671,,"Thinking seven generations ahead",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7138,,"Predictors of adolescent boys seeking help from their father and their mother",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9123,,"Spatiotemporal variation of plankton communities induced by hydropower dams: a case study in the Mactaquac reservoir and Saint John River, New Brunswick, Canada",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9000,,"Microstrip antenna array design for harmonic radar applications",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9317,,"A nested frailty model for bivariate recurrent events",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9300,,"Away but still at home",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7041,"Thesis 9192","Implementing a content-based recommender system for news readers",https://unbscholar.lib.unb.ca/handle/1882/14474
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9127,,"“Come and See What God Has Done”",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9132,,"A deep learning based framework for detecting and visualizing online malicious advertisement",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9163,,"Petrogenesis of the archean Prestige leucogranite and spatially associated LCT pegmatites: insights from whole-rock and muscovite trace element geochemistry and apatite U-Pb geochronology",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9563,,"The biogeographic history and contemporary origins of north american arctic marine macroalgae",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9103,"Thesis 10102","Evaluating the potential of high SSA biochar particles produced via microwave pyrolysis as reinforcing filler in pultruded fiber-reinforced polymer composites",https://unbscholar.lib.unb.ca/handle/1882/13567
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8264,,"Adapting hydrological modeling for Atlantic Canada's climate, landscape, and vegetation conditions",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6906,,"Moral panic and ‘One [Secular] Law for All’",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9323,,"Determination and analysis of the sub-second fluctuations in the ionospheric electron density using the GPS",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9304,,"The impact of the Comprehensive Economic and Trade Agreement (CETA) on the export of Machinery and Transportation Equipment (M&TE) from Canada to European Union (EU) countries",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8087,,"The analysis on trade effect of China-ASEAN free trade agreement-based on the gravity model",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9131,,"Creative journaling: Fundy artist residence series ""Beneath the Surface""",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8748,,"A long arc approach to GPS satellite orbit improvement",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9257,,"Estimating heritability of pest resistance in forest trees: exploring potential biases from methodological and ecological factors",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9392,,"Seasonal and tidal variations of sediment transport patterns in the Saint John Inner Harbour",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7097,,"Economic impact of utilization of liquefied natural gas (LNG) in the province of New Brunswick",
